timestamps,TransSelectedGear,TransCurrentGear,TransOutputShaftSpeed,TransInputShaftSpeed,TransShiftInProcess,Time,StateChange,Delta_Time,TransInputShaftSpeedVelocity,Delta_TransInputShaftSpeedVelocity,TransInputShaftSpeedAcceleration,TransInputShaftSpeedAccelerationForth,TransOutputShaftSpeedVelocity,Delta_TransOutputShaftSpeedVelocity,TransOutputShaftSpeedAcceleration,TransOutputShaftSpeedAccelerationForth
2024-08-05 10:22:57.038924919-03:00,5.0,6.0,547.7214443898858,1917.6430548735736,b'Shift in process',327.038924919,1,0.0,24.354066796894386,0.0,0.0,0.0,6.95606234375155,0.0,0.0,0.0
2024-08-05 10:22:57.045308816-03:00,5.0,6.0,547.25,1911.75,b'Shift in process',327.04530881600004,0,0.006383897,24.279225,-0.07484179689438619,-11.723528260933124,18890.06006080363,6.950075,-0.005987343751550078,-0.937882260874522,0.7737368600900946
2024-08-05 10:22:57.055193669-03:00,5.0,6.0,544.125,1908.0,b'Shift in process',327.055193669,0,0.009884853,24.2316,-0.04762500000000003,-4.817977566282475,538.8390898869905,6.9103875,-0.03968750000000032,-4.014981305235426,259.8568141816197
2024-08-05 10:22:57.065126538-03:00,5.0,6.0,543.375,1903.875,b'Shift in process',327.065126538,0,0.009932869,24.1792125,-0.05238750000000181,-5.274155936215589,773.7699582636825,6.900862500000001,-0.009524999999999118,-0.9589374429481671,0.8455924685617532
2024-08-05 10:22:57.075283882-03:00,5.0,6.0,542.125,1898.5,b'Shift in process',327.075283882,0,0.010157344,24.11095,-0.06826249999999945,-6.720506856910571,2039.896412382048,6.8849875,-0.015875000000000306,-1.562908571374594,5.96670122765926
2024-08-05 10:22:57.085212236-03:00,5.0,6.0,540.125,1893.5,b'Shift in process',327.085212236,0,0.009928354,24.04745,-0.06349999999999767,-6.395823517170889,1673.3465252701637,6.8595875,-0.02540000000000031,-2.5583294068684808,42.83767104692457
2024-08-05 10:22:57.095156340-03:00,5.0,6.0,539.0,1886.25,b'Shift in process',327.09515634,0,0.009944104,23.955375,-0.09207500000000124,-9.25925553473709,7350.286701388548,6.845299999999999,-0.014287500000000897,-1.4367810312523779,4.26149852815039
2024-08-05 10:22:57.105552767-03:00,5.0,6.0,537.25,1883.125,b'Shift in process',327.105552767,0,0.010396427,23.9156875,-0.03968749999999943,-3.8174172722993616,212.36284589660454,6.823075000000001,-0.02222499999999794,-2.137753672487475,20.884815585181197
2024-08-05 10:22:57.116010852-03:00,5.0,6.0,535.75,1881.75,b'Shift in process',327.11601085200004,0,0.010458085,23.898225,-0.017462500000000603,-1.6697607640405103,7.773507237106978,6.804025,-0.0190500000000009,-1.8215571971351254,11.00959265546469
2024-08-05 10:22:57.125587729-03:00,5.0,6.0,534.375,1878.125,b'Shift in process',327.125587729,0,0.009576877,23.8521875,-0.04603750000000062,-4.807151642440497,534.0123352102701,6.7865625000000005,-0.017462499999999714,-1.823402347132548,11.054269236431672
2024-08-05 10:22:57.135131777-03:00,5.0,6.0,532.875,1874.125,b'Shift in process',327.135131777,0,0.009544048,23.8013875,-0.050799999999998846,-5.322689072812589,802.6466356427031,6.7675125,-0.0190500000000009,-1.9960084023048608,15.872650753680949
2024-08-05 10:22:57.145035646-03:00,5.0,6.0,532.625,1870.0,b'Shift in process',327.145035646,0,0.009903869,23.749000000000002,-0.052387499999998255,-5.289599448457795,782.8726957329501,6.7643375,-0.003174999999999706,-0.3205817847549989,0.010562223901696848
2024-08-05 10:22:57.145631160-03:00,5.0,6.0,532.6029784187909,1869.8385084044671,b'Shift in process',327.14563116,0,0.000595514,23.74694905673673,-0.0020509432632707103,-3.4439883248264698,140.6846395084057,6.764057825918646,-0.0002796740813542087,-0.46963477156575445,0.048645310259016236
2024-08-05 10:22:57.155176505-03:00,5.0,6.0,532.25,1867.25,b'Shift in process',327.15517650500004,0,0.009545345,23.714075,-0.032874056736730495,-3.4439883248568277,140.6846395133661,6.759575,-0.004482825918645794,-0.4696347715714617,0.04864531026138089
2024-08-05 10:22:57.165025122-03:00,5.0,6.0,529.875,1864.75,b'Shift in process',327.16502512200003,0,0.009848617,23.682325,-0.03175000000000239,-3.2238028953712368,108.01247658813216,6.7294125000000005,-0.030162499999999426,-3.0626127506023866,87.97683725897919
2024-08-05 10:22:57.175050213-03:00,5.0,6.0,529.25,1862.625,b'Shift in process',327.175050213,0,0.010025091,23.655337499999998,-0.026987500000000608,-2.6919955140557437,52.51668777815817,6.721475,-0.007937500000000597,-0.7917633864870252,0.392990144530786
2024-08-05 10:22:57.185158821-03:00,5.0,6.0,529.25,1860.125,b'Shift in process',327.185158821,0,0.010108608,23.623587500000003,-0.03174999999999528,-3.140887449587053,97.32165747757233,6.721475,0.0,0.0,0.0
2024-08-05 10:22:57.195083175-03:00,5.0,6.0,528.625,1854.375,b'Shift in process',327.19508317500004,0,0.009924354,23.5505625,-0.07302500000000123,-7.358161548852573,2931.4147869780804,6.7135375,-0.007937499999999709,-0.7998001683534978,0.4091908981039475
